iter	Passed	Remaining
1184	43388	7872
1185	43428	7836
1186	43470	7800
1187	43516	7765
1188	43577	7733
1189	43618	7697
1190	43656	7660
1191	43696	7624
1192	43738	7589
1193	43777	7552
1194	43818	7517
1195	43856	7480
1196	43896	7444
1197	43934	7407
1198	43973	7371
1199	44015	7335
1200	44056	7299
1201	44095	7263
1202	44136	7227
1203	44177	7191
1204	44216	7155
1205	44255	7119
1206	44293	7082
1207	44330	7045
1208	44368	7009
1209	44407	6973
1210	44444	6936
1211	44483	6900
1212	44521	6863
1213	44560	6827
1214	44600	6790
1215	44635	6754
1216	44675	6717
1217	44715	6681
1218	44759	6645
1219	44806	6610
1220	44849	6574
1221	44894	6539
1222	44939	6503
1223	44989	6469
1224	45029	6432
1225	45069	6396
1226	45108	6360
1227	45147	6323
1228	45187	6287
1229	45226	6250
1230	45265	6214
1231	45305	6178
1232	45346	6141
1233	45386	6105
1234	45427	6069
1235	45461	6032
1236	45498	5995
1237	45535	5958
1238	45573	5921
1239	45613	5885
1240	45651	5849
1241	45692	5812
1242	45730	5776
1243	45767	5739
1244	45807	5702
1245	45844	5666
1246	45884	5629
1247	45947	5596
1248	45994	5560
1249	46037	5524
1250	46087	5489
1251	46125	5452
1252	46163	5415
1253	46202	5379
1254	46245	5343
1255	46285	5306
1256	46328	5270
1257	46371	5234
1258	46416	5198
1259	46452	5161
1260	46489	5124
1261	46527	5087
1262	46571	5051
1263	46613	5015
1264	46655	4979
1265	46703	4943
1266	46746	4907
1267	46793	4871
1268	46854	4836
1269	46895	4800
1270	46935	4763
1271	46974	4726
1272	47012	4690
1273	47050	4653
1274	47089	4616
1275	47130	4580
1276	47168	4543
1277	47207	4506
1278	47247	4469
1279	47283	4432
1280	47320	4395
1281	47359	4359
1282	47396	4322
1283	47433	4285
1284	47473	4248
1285	47511	4211
1286	47550	4175
1287	47588	4138
1288	47626	4101
1289	47663	4064
1290	47702	4027
1291	47742	3990
1292	47779	3953
1293	47819	3917
1294	47859	3880
1295	47900	3843
1296	47946	3807
1297	47995	3771
1298	48034	3734
1299	48072	3697
1300	48109	3660
1301	48148	3624
1302	48186	3587
1303	48223	3550
1304	48261	3513
1305	48299	3476
1306	48337	3439
1307	48375	3402
1308	48414	3365
1309	48452	3328
1310	48489	3291
1311	48527	3254
1312	48565	3217
1313	48604	3181
1314	48644	3144
1315	48682	3107
1316	48721	3070
1317	48760	3033
1318	48796	2996
1319	48834	2959
1320	48872	2922
1321	48909	2885
1322	48949	2848
1323	48986	2811
1324	49024	2774
1325	49061	2737
1326	49101	2701
1327	49140	2664
1328	49177	2627
1329	49216	2590
1330	49254	2553
